feedback_id,visit_date,store_code,customer_name,customer_email,user_category,product_looking_for,reason_for_non_purchase,ground_truth_topic
1,2026-03-01,X3,Tara Patel,tara.patel96@icloud.com,Birthday,Anklets,Looking for 10 inch in anklets. The sizes available didn't fit.,Size Unavailable
2,2026-04-10,X3,Meera Anderson,meera.anderson75@gmail.com,Wedding,Necklace,Looking for 16 inch in necklace. The sizes available didn't fit.,Size Unavailable
3,2026-04-14,X5,Pooja Verma,pooja.verma3@hotmail.com,Everyday Wear,Ear Rings,Was looking for a yellow gold finish on ear rings; could not find a matching piece.,Color/Finish Mismatch
4,2026-04-12,X2,Ishita Reddy,ishita.reddy95@icloud.com,Office-going Women,Ear Rings,The ear rings I wanted to buy is completely out of stock at the moment. It was for babies.,Stock Unavailable
5,2026-02-19,X4,Anjali Iyer,anjali.iyer89@hotmail.com,Everyday Wear,Finger Rings,My daughter needed adjustable finger rings; could not find the right size.,Size Unavailable
6,2026-04-25,X3,Ethan Nair,ethan.nair46@outlook.com,Babies,Anklets,Looking for 9 inch in anklets. The sizes available didn't fit. Specifically for birthday use.,Size Unavailable
7,2026-03-04,X3,Harper Reddy,harper.reddy75@outlook.com,Office-going Women,Necklace,I wanted something lightweight (under 8g) but the necklace options shown were heavier. Specifically for office-going women use.,Weight Concerns
8,2026-03-07,X1,Lily Khan,lily.khan54@hotmail.com,Babies,Finger Rings,The sales staff was busy and I couldn't get enough help while choosing the finger rings.,Sales Service
9,2026-05-05,X6,Vikram Smith,vikram.smith52@outlook.com,Everyday Wear,Anklets,The anklets I liked wasn't available in 10 inch.,Size Unavailable
10,2026-03-20,X2,Liam Johnson,liam.johnson7@yahoo.com,Birthday,Ear Rings,The ear rings I wanted to buy is completely out of stock at the moment.,Stock Unavailable
11,2026-03-01,X3,Olivia Mehta,olivia.mehta56@hotmail.com,Babies,Anklets,Needed 9 inch for anklets but staff said it's out of stock right now.,Size Unavailable
12,2026-04-13,X1,Vikram Taylor,vikram.taylor58@icloud.com,Wedding,Bangles,I came specifically looking for a kada bangles but the store didn't have it.,Design Unavailable
13,2026-03-22,X6,Aditi Patel,aditi.patel88@icloud.com,Everyday Wear,Necklace,"Prices on necklace were higher than I expected, I had a budget of under 10k.",Price Too High
14,2026-02-25,X5,Arjun Verma,arjun.verma84@yahoo.com,Teen-age Girls,Ear Rings,Saw a chandbali design online and wanted the same in ear rings here. Not available.,Design Unavailable
15,2026-03-10,X1,Mia Patel,mia.patel28@outlook.com,Everyday Wear,Ear Rings,Saw the exact ear rings I wanted in the catalogue but it's not in the store currently. The piece was meant for wedding.,Stock Unavailable
16,2026-04-19,X6,Olivia Iyer,olivia.iyer57@gmail.com,Teen-age Girls,Anklets,Was hoping to find a beaded anklet style in anklets. Nothing matched what I had in mind.,Design Unavailable
17,2026-04-23,X6,Noah Smith,noah.smith92@outlook.com,Babies,Bangles,"Prices on bangles were higher than I expected, I had a budget of under 50k. It was for everyday wear.",Price Too High
18,2026-04-22,X3,Anjali Sharma,anjali.sharma34@outlook.com,Teen-age Girls,Necklace,Saw a minimalist design online and wanted the same in necklace here. Not available. Specifically for birthday use.,Design Unavailable
19,2026-03-19,X4,Vikram Anderson,vikram.anderson99@gmail.com,Babies,Finger Rings,The finger rings I liked wasn't available in size 8. It was for wedding.,Size Unavailable
20,2026-02-20,X5,Ishita Smith,ishita.smith87@icloud.com,Birthday,Ear Rings,Wanted the ear rings in antique finish but only yellow gold was available. Specifically for birthday use.,Color/Finish Mismatch
21,2026-03-11,X2,Arjun Iyer,arjun.iyer85@yahoo.com,Wedding,Ear Rings,Was told the ear rings model is sold out and would take 3-4 weeks to restock.,Stock Unavailable
22,2026-05-06,X6,Ethan Wilson,ethan.wilson45@hotmail.com,Office-going Women,Bangles,I came specifically looking for a bridal kundan bangles but the store didn't have it.,Design Unavailable
23,2026-05-11,X2,Priya Brown,priya.brown98@hotmail.com,Birthday,Necklace,The necklace I liked was way over my budget. I was hoping for something under 50k. Specifically for teen-age girls use.,Price Too High
24,2026-02-13,X2,Emma Patel,emma.patel44@hotmail.com,Wedding,Ear Rings,Was told the ear rings model is sold out and would take 3-4 weeks to restock.,Stock Unavailable
25,2026-04-13,X5,Ishita Smith,ishita.smith80@hotmail.com,Wedding,Necklace,Wanted a slight design change on the necklace; staff said customization is not possible right now. The piece was meant for teen-age girls.,Customization Not Offered
26,2026-02-27,X6,Arjun Nair,arjun.nair34@outlook.com,Everyday Wear,Ear Rings,Wanted the ear rings in silver tone but only yellow gold was available.,Color/Finish Mismatch
